stimulus_image,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,guide.started,instructions.started,ins_resp.started,guide.stopped,ins_resp.keys,ins_resp.rt,ins_resp.duration,guide_2.started,text.started,key_resp_2.started,guide_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,key_resp.started,fixation.stopped,image.stopped,trial.stopped,loop.key_resp.keys,loop.key_resp.corr,loop.key_resp.rt,loop.key_resp.duration,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.004634700017049909,0.01939260005019605,0.01939260005019605,30.069887300021946,space,29.994950599968433,None,,,,,,,,,,,,,,,,,,,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
,,,,,,,,,,,,,,,,,,,,,,30.069975499995053,30.07702670013532,30.07702670013532,34.56229820009321,space,4.472678899997845,None,,,,,,,,,,,,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
surprise_lower_blur.jpg,s,0,0,0,f,0,0.5489990999922156,None,0,0,0,5,34.68411880009808,,,,,,,,,,,,,,,,34.6780574999284,34.68411880009808,36.074846599949524,36.074846599949524,36.194238000083715,36.57739430014044,36.62979410006665,f,0,0.5489990999922156,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
surprise.jpg,s,1,1,0,f,0,0.5089996000751853,None,0,1,1,1,36.64817519998178,,,,,,,,,,,,,,,,36.64276760001667,36.64817519998178,38.12936479994096,38.12936479994096,38.162876500049606,38.62889420008287,38.64750860002823,f,0,0.5089996000751853,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
surprise_upper_blur.jpg,s,2,2,0,s,1,0.6650900999084115,None,0,2,2,4,38.666572000132874,,,,,,,,,,,,,,,,38.661050900118425,38.666572000132874,40.16210480011068,40.16210480011068,40.1772374000866,40.66280369996093,40.83180500008166,s,1,0.6650900999084115,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
fear_upper_blur.jpg,f,3,3,0,s,0,0.5453977000433952,None,0,3,3,2,40.84779669996351,,,,,,,,,,,,,,,,40.84207440004684,40.84779669996351,42.34508160012774,42.34508160012774,42.36227450007573,42.8458708000835,42.8979819000233,s,0,0.5453977000433952,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
fear.jpg,f,4,4,0,s,0,0.6720201999414712,None,0,4,4,0,42.91701680002734,,,,,,,,,,,,,,,,42.911754300119355,42.91701680002734,44.41255020000972,44.41255020000972,44.429468899965286,44.91244330001064,45.09808439994231,s,0,0.6720201999414712,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
fear_lower_blur.jpg,f,5,5,0,None,0,,,0,5,5,3,45.11690889997408,,,,,,,,,,,,,,,,45.11145840003155,45.11690889997408,46.61273190006614,46.61273190006614,46.62947389995679,47.12821769993752,47.361129200086,None,0,,,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
fear_lower_blur.jpg,f,6,0,1,f,1,0.6428263999987394,None,1,0,6,3,47.379537699976936,,,,,,,,,,,,,,,,47.37376600014977,47.379537699976936,48.86041730013676,48.86041730013676,48.89592229994014,49.360711799934506,49.51424070005305,f,1,0.6428263999987394,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
surprise.jpg,s,7,1,1,s,1,0.6123603000305593,None,1,1,7,1,49.53287769993767,,,,,,,,,,,,,,,,49.52758460002951,49.53287769993767,51.02974719996564,51.02974719996564,51.04586980002932,51.546008199919015,51.648431699955836,s,1,0.6123603000305593,None,,DH20,106,2025-04-01_14h39.50.331,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.162530686422976,2025-04-01 14h43.22.958756 +0530,
