stimulus_image,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,guide.started,instructions.started,ins_resp.started,guide.stopped,ins_resp.keys,ins_resp.rt,ins_resp.duration,guide_2.started,text.started,key_resp_2.started,guide_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,key_resp.started,fixation.stopped,image.stopped,trial.stopped,loop.key_resp.keys,loop.key_resp.corr,key_resp.stopped,loop.key_resp.rt,loop.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.004267500014975667,0.010604500072076917,0.010604500072076917,23.005813100142404,space,22.98373720003292,None,,,,,,,,,,,,,,,,,,,,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
,,,,,,,,,,,,,,,,,,,,,,23.00590390013531,23.012723400024697,23.012723400024697,27.262572900159284,space,4.2404325001407415,None,,,,,,,,,,,,,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_upper_blur.jpg,s,0,0,0,None,0,,,0,0,0,4,27.37844920018688,,,,,,,,,,,,,,,,27.37196879996918,27.37844920018688,28.789401000132784,28.789401000132784,28.892221700167283,29.292466200189665,29.525468500098214,None,0,,,,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear_lower_blur.jpg,f,1,1,0,None,0,,,0,1,1,3,29.54474090016447,,,,,,,,,,,,,,,,29.53943550004624,29.54474090016447,31.026928700041026,31.026928700041026,31.06095160008408,31.542048500152305,31.761834900127724,None,0,31.780791400000453,,,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear_upper_blur.jpg,f,2,2,0,s,0,0.5780065001454204,None,0,2,2,2,31.780791400000453,,,,,,,,,,,,,,,,31.775789899984375,31.780791400000453,33.27616180013865,33.27616180013865,33.29210059996694,33.77740080002695,33.86294240015559,s,0,,0.5780065001454204,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear.jpg,f,3,3,0,f,1,0.3383889999240637,None,0,3,3,0,33.883013600017875,,,,,,,,,,,,,,,,33.87752390000969,33.883013600017875,35.37744930014014,35.37744930014014,35.39404070004821,,35.72944540018216,f,1,,0.3383889999240637,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise.jpg,s,4,4,0,s,1,0.4559855000115931,None,0,4,4,1,35.74941539997235,,,,,,,,,,,,,,,,35.74368810001761,35.74941539997235,37.24268850008957,37.24268850008957,37.25997530017048,,37.7124036999885,s,1,,0.4559855000115931,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_lower_blur.jpg,s,5,5,0,s,1,0.541373300133273,None,0,5,5,5,37.73273460008204,,,,,,,,,,,,,,,,37.7262870001141,37.73273460008204,39.22690290003084,39.22690290003084,39.24392550019547,39.72707840008661,39.779172900132835,s,1,,0.541373300133273,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_upper_blur.jpg,s,6,0,1,f,0,0.40306829987093806,None,1,0,6,4,39.79854350001551,,,,,,,,,,,,,,,,39.79256259999238,39.79854350001551,41.293724100105464,41.293724100105464,41.310600799974054,,41.70994219998829,f,0,,0.40306829987093806,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear.jpg,f,7,1,1,f,1,0.3636128001380712,None,1,1,7,0,41.72948199999519,,,,,,,,,,,,,,,,41.724550700047985,41.72948199999519,43.2091602999717,43.2091602999717,43.24360170005821,,43.58070380007848,f,1,,0.3636128001380712,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear_lower_blur.jpg,f,8,2,1,f,1,0.42955509992316365,None,1,2,8,3,43.5994790000841,,,,,,,,,,,,,,,,43.59384790016338,43.5994790000841,45.09385449998081,45.09385449998081,45.11032730014995,,45.52975420001894,f,1,,0.42955509992316365,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_lower_blur.jpg,s,9,3,1,s,1,0.41357399988919497,None,1,3,9,5,45.54853240004741,,,,,,,,,,,,,,,,45.5433253000956,45.54853240004741,47.04180260002613,47.04180260002613,47.05831560003571,,47.46283169998787,s,1,,0.41357399988919497,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear_upper_blur.jpg,f,10,4,1,f,1,0.41779029997996986,None,1,4,10,2,47.48352590017021,,,,,,,,,,,,,,,,47.47795950016007,47.48352590017021,48.977288000052795,48.977288000052795,48.994272500043735,,49.41227290011011,f,1,,0.41779029997996986,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise.jpg,s,11,5,1,s,1,0.5244849000591785,None,1,5,11,1,49.43240589997731,,,,,,,,,,,,,,,,49.426296500023454,49.43240589997731,50.92546990001574,50.92546990001574,50.943094399990514,51.42715290002525,51.46245090011507,s,1,,0.5244849000591785,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_lower_blur.jpg,s,12,0,2,s,1,0.44552750000730157,None,2,0,12,5,51.48112910008058,,,,,,,,,,,,,,,,51.475751999998465,51.48112910008058,52.977329100016505,52.977329100016505,52.99461150006391,,53.428891899995506,s,1,,0.44552750000730157,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise.jpg,s,13,1,2,f,0,0.3609750000759959,None,2,1,13,1,53.450097900116816,,,,,,,,,,,,,,,,53.44394140015356,53.450097900116816,54.94179280009121,54.94179280009121,54.959983200067654,,55.31167310010642,f,0,,0.3609750000759959,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear_upper_blur.jpg,f,14,2,2,s,0,0.5374943998176605,None,2,2,14,2,55.32734400010668,,,,,,,,,,,,,,,,55.3218235000968,55.32734400010668,56.82772410009056,56.82772410009056,56.82772410009056,57.327425100142136,57.379012500168756,s,0,,0.5374943998176605,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_upper_blur.jpg,s,15,3,2,f,0,0.4221963998861611,None,2,3,15,4,57.39808120019734,,,,,,,,,,,,,,,,57.39234510017559,57.39808120019734,58.891864300007,58.891864300007,58.90965800010599,,59.32898460002616,f,0,,0.4221963998861611,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear_lower_blur.jpg,f,16,4,2,s,0,0.4309864998795092,None,2,4,16,3,59.3442923000548,,,,,,,,,,,,,,,,59.33926250017248,59.3442923000548,60.841764400014654,60.841764400014654,60.86012100009248,,61.27968930010684,s,0,,0.4309864998795092,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
fear.jpg,f,17,5,2,s,0,0.3079844999592751,None,2,5,17,0,61.29951210017316,,,,,,,,,,,,,,,,61.29406910017133,61.29951210017316,62.793623000150546,62.793623000150546,62.810785399982706,,63.11221050005406,s,0,,0.3079844999592751,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
surprise_lower_blur.jpg,s,18,0,3,s,1,0.25715159997344017,None,3,0,18,5,63.12902650004253,,,,,,,,,,,,,,,,63.12368470011279,63.12902650004253,64.62746900017373,64.62746900017373,64.6435365001671,,64.8963173001539,s,1,,0.25715159997344017,None,DY20,108,2025-04-01_15h48.23.081,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.56554086447175,2025-04-01 15h51.14.695349 +0530,
