stimulus_image,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,guide.started,instructions.started,ins_resp.started,guide.stopped,ins_resp.keys,ins_resp.rt,ins_resp.duration,guide_2.started,text.started,key_resp_2.started,guide_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,key_resp.started,fixation.stopped,image.stopped,trial.stopped,loop.key_resp.keys,loop.key_resp.corr,key_resp.stopped,loop.key_resp.rt,loop.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.004023800021968782,0.00988379999762401,0.00988379999762401,34.88492139999289,space,34.78198379999958,None,,,,,,,,,,,,,,,,,,,,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
,,,,,,,,,,,,,,,,,,,,,,34.885010899975896,34.89275769999949,34.89275769999949,37.354065100022126,space,2.4524890999891795,None,,,,,,,,,,,,,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
surprise.jpg,s,0,0,0,None,0,,,0,0,0,1,37.54011519998312,,,,,,,,,,,,,,,,37.53178919997299,37.54011519998312,38.911517400003504,38.911517400003504,39.05229090002831,39.41896249999991,39.61866470001405,None,0,,,,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
fear_lower_blur.jpg,f,1,1,0,None,0,,,0,1,1,3,39.665263500006404,,,,,,,,,,,,,,,,39.66061279998394,39.665263500006404,41.11888830002863,41.11888830002863,41.168442800000776,41.61848840001039,41.853002800024115,None,0,41.87155620002886,,,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
fear_upper_blur.jpg,f,2,2,0,f,1,0.5101589999976568,None,0,2,2,2,41.87155620002886,,,,,,,,,,,,,,,,41.86728870001389,41.87155620002886,43.36896059999708,43.36896059999708,43.385789300024044,43.868110799987335,43.887638000014704,f,1,,0.5101589999976568,None,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
fear.jpg,f,3,3,0,None,0,,,0,3,3,0,43.93399920000229,,,,,,,,,,,,,,,,43.92841629998293,43.93399920000229,45.401926500024274,45.401926500024274,45.43553770001745,45.90213320002658,46.13649720000103,None,0,46.18430610001087,,,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
surprise_lower_blur.jpg,s,4,4,0,None,0,,,0,4,4,5,46.18430610001087,,,,,,,,,,,,,,,,46.179670299985446,46.18430610001087,47.6517668000306,47.6517668000306,47.68534450000152,48.15171539998846,48.385177200019825,None,0,48.4308721999987,,,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
surprise_upper_blur.jpg,s,5,5,0,f,0,0.5876669000135735,None,0,5,5,4,48.4308721999987,,,,,,,,,,,,,,,,48.4259973000153,48.4308721999987,49.90226669999538,49.90226669999538,49.93512759997975,50.401548099995125,50.504970800015144,f,0,,0.5876669000135735,None,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
fear.jpg,f,6,0,1,s,0,0.6787136999773793,None,1,0,6,0,50.52417350001633,,,,,,,,,,,,,,,,50.51904959999956,50.52417350001633,52.01878919999581,52.01878919999581,52.035282400029246,52.51840619998984,52.7038453000132,s,0,,0.6787136999773793,None,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
surprise_upper_blur.jpg,s,7,1,1,f,0,0.6163377999910153,None,1,1,7,4,52.72189360001357,,,,,,,,,,,,,,,,52.717083399998955,52.72189360001357,54.21878870000364,54.21878870000364,54.235682900005486,54.718097499979194,54.838572999986354,f,0,,0.6163377999910153,None,K51,117,2025-04-06_20h53.22.436,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.2.4,59.74111785768651,2025-04-06 20h56.33.237654 +0530,
