stimulus_image,correct_response,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,guide.started,instructions.started,ins_resp.started,guide.stopped,ins_resp.keys,ins_resp.rt,ins_resp.duration,guide_2.started,ins_resp_2.started,instructions_2.started,guide_2.stopped,ins_resp_2.keys,ins_resp_2.rt,ins_resp_2.duration,trial.started,fixation.started,image.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image.stopped,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.002773400046862662,0.023079199949279428,0.023079199949279428,11.303065399988554,space,11.181089899968356,None,,,,,,,,,,,,,,,,,,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
,,,,,,,,,,,,,,,11.303110599983484,11.307690300047398,11.307690300047398,13.880045700003393,space,2.5687218999955803,None,,,,,,,,,,,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise_lower_blur.jpg,s,0,0,0,5,14.006874199956656,,,,,,,,,,,,,,,,13.982715699938126,14.006874199956656,15.50296700000763,15.50296700000763,15.509548699948937,16.044193199952133,s,1,0.5328776999376714,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear_lower_blur.jpg,f,0,1,1,3,16.112044099951163,,,,,,,,,,,,,,,,16.047199800028466,16.112044099951163,17.556608699960634,17.556608699960634,17.624029899947345,18.008801099960692,s,0,0.435775600024499,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear_upper_blur.jpg,f,0,2,2,2,18.040638400008902,,,,,,,,,,,,,,,,18.010218500043266,18.040638400008902,19.52107849996537,19.52107849996537,19.55539879994467,19.989125499967486,f,1,0.4639813000103459,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise_upper_blur.jpg,s,0,3,3,4,20.068754500010982,,,,,,,,,,,,,,,,19.99050419998821,20.068754500010982,21.50112479995005,21.50112479995005,21.58442319999449,22.05409420002252,s,1,0.5373090000357479,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise.jpg,s,0,4,4,1,22.110297000035644,,,,,,,,,,,,,,,,22.05594019999262,22.110297000035644,23.566380299977027,23.566380299977027,23.616356699960306,23.985058199963532,f,0,0.4170170999132097,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear.jpg,f,0,5,5,0,24.022285099956207,,,,,,,,,,,,,,,,23.98675949999597,24.022285099956207,25.497254300047643,25.497254300047643,25.531312600011006,25.933467800030485,f,1,0.4327864999650046,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear_upper_blur.jpg,f,1,0,6,2,25.958893900038674,,,,,,,,,,,,,,,,25.93539120000787,25.958893900038674,27.445210800040513,27.445210800040513,27.462061499943957,27.932327499962412,f,1,0.4775851999875158,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear.jpg,f,1,1,7,0,27.953168499981984,,,,,,,,,,,,,,,,27.93431669997517,27.953168499981984,29.443977499962784,29.443977499962784,29.45964370004367,30.028105700039305,f,1,0.5814723999937996,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise_upper_blur.jpg,s,1,2,8,4,30.048688699956983,,,,,,,,,,,,,,,,30.029690800001845,30.048688699956983,31.54198009998072,31.54198009998072,31.558895500027575,31.996565000037663,s,1,0.4432467999868095,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise.jpg,s,1,3,9,1,32.02757899998687,,,,,,,,,,,,,,,,31.99915319995489,32.02757899998687,33.505858700023964,33.505858700023964,33.54016029997729,33.82771139999386,s,1,0.3113670999882743,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise_lower_blur.jpg,s,1,4,10,5,33.85966199997347,,,,,,,,,,,,,,,,33.82986950001214,33.85966199997347,35.338865499943495,35.338865499943495,35.37258239998482,35.859063099953346,s,1,0.5160304000601172,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear_lower_blur.jpg,f,1,5,11,3,35.88095250003971,,,,,,,,,,,,,,,,35.8612517999718,35.88095250003971,37.371093999943696,37.371093999943696,37.38733920000959,37.823499899939634,f,1,0.4357526999665424,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear_lower_blur.jpg,f,2,0,12,3,37.848499699961394,,,,,,,,,,,,,,,,37.82562909997068,37.848499699961394,39.33626699994784,39.33626699994784,39.35259549994953,39.70490030001383,f,1,0.36356680002063513,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear.jpg,f,2,1,13,0,39.7267775000073,,,,,,,,,,,,,,,,39.70647390000522,39.7267775000073,41.21648519998416,41.21648519998416,41.2338652999606,41.57001459994353,s,0,0.3458327999105677,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
fear_upper_blur.jpg,f,2,2,14,2,41.590227699954994,,,,,,,,,,,,,,,,41.57223219994921,41.590227699954994,43.081074799993075,43.081074799993075,43.09843919996638,43.480798800010234,f,1,0.3878823999548331,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise_upper_blur.jpg,s,2,3,15,4,43.49605199997313,,,,,,,,,,,,,,,,43.481861599953845,43.49605199997313,44.99635220004711,44.99635220004711,44.99635220004711,45.34861320001073,f,0,0.3490835999837145,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
surprise_lower_blur.jpg,s,2,4,16,5,45.37495059997309,,,,,,,,,,,,,,,,45.3502866999479,45.37495059997309,46.860747699975036,46.860747699975036,46.878465999965556,47.280785999959335,s,1,0.40219679998699576,None,,,S22,001,2025-03-31_16h40.42.404,416_EXPERIMENT_PSYCHOPY_AU2220019_AU2220225,2024.1.5,None,2025-03-31 16h44.40.009621 +0530,
